Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,144.880005,145.300003,143.100006,143.500000,137.295715,14277800
2017-07-05,143.690002,144.789993,142.720001,144.089996,137.860229,21569600
2017-07-06,143.020004,143.500000,142.410004,142.729996,136.559036,24128800
2017-07-07,142.899994,144.750000,142.899994,144.179993,137.946335,19201700
2017-07-10,144.110001,145.949997,143.369995,145.059998,138.788269,21090600
2017-07-11,144.729996,145.850006,144.380005,145.529999,139.237961,19781800
2017-07-12,145.869995,146.179993,144.820007,145.740005,139.438904,24884500
2017-07-13,145.500000,148.490005,145.440002,147.770004,141.381149,25199400
2017-07-14,147.970001,149.330002,147.330002,149.039993,142.596207,20132100
2017-07-17,148.820007,150.899994,148.570007,149.559998,143.093735,23793500
2017-07-18,149.199997,150.130005,148.669998,150.080002,143.591248,17868800
2017-07-19,150.479996,151.419998,149.949997,151.020004,144.490616,20923000
2017-07-20,151.500000,151.740005,150.190002,150.339996,143.839996,17243700
2017-07-21,149.990005,150.440002,148.880005,150.270004,143.773026,26252600
2017-07-24,150.580002,152.440002,149.899994,152.089996,145.514374,21493200
2017-07-25,151.800003,153.839996,151.800003,152.740005,146.136246,18853900
2017-07-26,153.350006,153.929993,153.059998,153.460007,146.825134,15781000
2017-07-27,153.750000,153.990005,147.300003,150.559998,144.050507,32476300
2017-07-28,149.889999,150.229996,149.190002,149.500000,143.036331,17213700
2017-07-31,149.899994,150.330002,148.130005,148.729996,142.299622,19845900
